bat_landing_to_food,seconds_after_rat_arrival,risk,reward,month,hours_after_sunset,season
2.0,22,0,1,4,7.743055556,1
0.042707344,17,1,0,4,8.101388889,1
13.0,20,0,1,4,8.102222222,1
0.043905767,33,1,0,4,8.105833333,1
1.0,99,0,1,4,8.124166667,1
0.076705397,142,1,0,4,8.136111111,1
0.040958086,38,0,1,4,8.446388889,1
0.056999457,159,1,0,4,8.48,1
0.099530937,160,1,0,4,8.480277778,1
0.014419381,168,1,0,4,8.4825,1
3.0,106,0,1,4,8.736111111,1
5.0,106,0,1,4,8.931666667,1
0.040564984,445,1,1,4,9.323055556,1
16.0,183,1,1,4,3.194444444,1
0.044489486,26,0,1,4,3.806111111,1
2.0,34,1,0,4,3.808333333,1
1.0,570,0,1,4,7.520833333,1
3.0,140,0,1,4,8.135555556,1
22.0,166,0,0,4,8.481944444,1
0.051207358,75,0,1,4,0.217222222,1
1.0,167,0,1,4,0.242777778,1
1.0,230,0,1,4,0.260277778,1
5.0,547,1,0,4,0.348333333,1
0.039785341,220,1,0,4,2.360555556,1
3.0,487,0,1,4,2.434722222,1
2.0,493,1,0,4,2.436388889,1
4.0,22,1,0,4,3.381944444,1
1.0,472,1,0,4,3.506944444,1
12.0,185,0,1,4,4.857222222,1
14.0,207,1,0,4,4.863333333,1
5.0,235,1,0,4,4.871111111,1
0.016181067,262,1,0,4,4.878611111,1
3.0,320,1,0,4,4.894722222,1
18.0,341,1,0,4,4.900555556,1
11.0,508,1,0,4,4.946944444,1
1.0,579,0,1,4,4.966666667,1
0.093784466,673,0,1,4,4.992777778,1
0.019265878,697,0,1,4,4.999444444,1
1.0,711,0,1,4,5.003333333,1
6.0,809,0,1,4,5.030555556,1
10.0,825,1,0,4,5.035,1
0.058920205,863,0,1,4,5.045555556,1
0.024862202,39,0,1,4,6.802777778,1
1.0,41,0,1,4,6.803333333,1
10.0,65,1,0,4,6.81,1
1.0,84,0,1,4,6.815277778,1
1.0,122,0,1,4,6.825833333,1
0.014004332,141,0,1,4,6.831111111,1
7.0,164,1,0,4,6.8375,1
7.0,216,0,1,4,6.851944444,1
3.0,210,1,0,4,7.604166667,1
6.0,235,1,0,4,7.611111111,1
4.0,269,0,1,4,7.620555556,1
5.0,303,0,1,4,7.63,1
4.0,180,0,1,4,8.251666667,1
4.0,467,0,1,4,8.331388889,1
10.0,512,0,1,4,8.343888889,1
10.0,521,1,0,4,8.346388889,1
2.0,547,0,1,4,8.353611111,1
1.0,573,0,1,4,8.360833333,1
3.0,591,0,1,4,8.365833333,1
3.0,621,0,1,4,8.374166667,1
3.0,330,0,1,4,8.756111111,1
0.068554286,487,0,1,4,8.799722222,1
3.0,522,0,1,4,8.809444444,1
4.0,24,1,0,4,0.276944444,1
1.0,17,0,1,4,0.736388889,1
20.0,108,1,1,4,0.761666667,1
9.0,130,1,0,4,0.767777778,1
1.0,7,0,1,4,3.726666667,1
25.0,22,0,1,4,3.730833333,1
14.0,88,1,1,4,3.749166667,1
8.0,97,1,0,4,3.751666667,1
6.0,102,0,1,4,3.753055556,1
26.0,112,1,1,4,4.640833333,1
6.0,126,0,1,4,4.644722222,1
24.0,196,1,1,4,4.664166667,1
1.0,258,0,1,4,4.681388889,1
19.0,287,0,1,4,4.689444444,1
3.0,0,0,1,4,6.1875,1
6.0,14,0,1,4,6.191388889,1
1.0,48,0,1,4,6.200833333,1
7.0,28,1,0,4,6.583333333,1
1.0,59,0,1,4,6.591944444,1
16.0,109,1,0,4,6.605833333,1
11.0,23,0,1,4,6.989722222,1
18.0,141,0,1,4,7.0225,1
2.0,191,0,1,4,7.036388889,1
2.0,309,0,1,4,8.379722222,1
1.0,482,0,1,4,8.427777778,1
7.0,501,0,1,4,8.433055556,1
6.0,659,0,1,4,8.476944444,1
5.0,707,0,1,4,8.490277778,1
2.0,722,0,1,4,8.494444444,1
23.0,734,1,0,4,8.497777778,1
13.0,769,1,1,4,8.5075,1
2.0,372,0,1,4,10.23305556,1
1.0,263,0,1,4,10.14944444,1
0.025345863,2,0,1,4,-0.169166667,1
0.096196,76,0,1,4,-0.148611111,1
0.063701466,91,0,1,4,-0.144444444,1
0.094784549,105,0,1,4,1.341944444,1
0.076254237,166,1,0,4,1.358888889,1
0.014184241,383,1,0,4,1.419166667,1
9.0,0,1,0,4,2.198055556,1
1.0,85,0,1,4,3.725555556,1
5.0,188,0,1,4,3.754166667,1
0.047647063,0,1,0,4,4.036944444,1
0.090449811,63,1,0,4,4.054444444,1
3.0,139,0,1,4,4.075555556,1
14.0,171,0,1,4,4.084444444,1
17.0,28,1,0,4,5.060833333,1
20.0,82,1,0,4,5.075833333,1
0.099179779,206,1,0,4,5.110277778,1
11.0,309,0,1,4,5.138888889,1
2.0,8,0,1,4,5.611111111,1
0.043720185,11,1,0,4,5.611944444,1
2.0,47,1,0,4,5.735277778,1
6.0,66,1,0,4,5.740555556,1
5.0,78,1,0,4,5.743888889,1
3.0,87,0,1,4,5.746388889,1
0.069546705,132,1,0,4,5.758888889,1
0.035887407,143,1,0,4,5.761944444,1
5.0,172,0,1,4,5.77,1
6.0,182,0,1,4,5.772777778,1
0.087634798,206,0,1,4,5.779444444,1
3.0,211,0,1,4,5.780833333,1
0.038141769,5,0,1,4,6.0175,1
0.09694048,38,1,1,4,6.026666667,1
2.0,58,0,1,4,6.032222222,1
2.0,119,0,1,4,6.049166667,1
4.0,105,0,1,4,6.409444444,1
5.0,180,0,1,4,6.430277778,1
3.0,187,0,1,4,6.432222222,1
5.0,247,0,1,4,6.448888889,1
0.020820512,252,0,1,4,6.450277778,1
9.0,419,1,0,4,6.496666667,1
1.0,436,0,1,4,6.501388889,1
21.0,572,0,1,4,6.539166667,1
4.0,592,1,0,4,6.544722222,1
1.0,36,0,1,4,7.544166667,1
6.0,169,0,1,4,7.581111111,1
2.0,452,1,0,4,7.659722222,1
0.071250736,466,1,1,4,7.663611111,1
4.0,485,0,1,4,7.668888889,1
7.0,499,0,1,4,7.672777778,1
3.0,783,0,1,4,7.751666667,1
0.014550835,903,1,1,4,7.785,1
2.0,26,1,0,4,8.252222222,1
12.0,63,0,1,4,8.2625,1
0.025349973,402,1,0,4,8.356666667,1
0.094601342,708,1,0,4,8.441666667,1
26.0,740,1,1,4,8.450555556,1
0.044300625,192,0,1,4,9.265,1
0.09536188,315,0,1,4,9.299166667,1
0.091074825,109,0,1,4,9.688333333,1
2.0,44,0,1,4,4.049166667,1
1.0,60,0,1,4,4.053611111,1
1.0,66,0,1,4,7.5525,1
2.0,902,0,0,4,7.784722222,1
0.017597713,389,0,1,4,1.414722222,1
0.032534418,695,0,1,4,1.499722222,1
4.0,710,0,1,4,1.503888889,1
14.0,759,1,1,4,1.5175,1
20.0,4,1,0,4,3.5725,1
2.0,9,0,1,4,3.573888889,1
8.0,144,1,0,4,3.611388889,1
0.097800752,184,1,0,4,3.6225,1
0.063312201,428,1,0,4,3.690277778,1
18.0,490,1,1,4,3.7075,1
2.0,521,0,1,4,3.716111111,1
5.0,529,1,1,4,3.718333333,1
0.078489345,776,0,1,4,3.786944444,1
22.0,239,1,1,4,6.196944444,1
9.0,290,1,1,4,6.211111111,1
4.0,304,0,1,4,6.215,1
0.085746166,315,1,1,4,6.218055556,1
4.0,323,0,1,4,6.220277778,1
0.040027684,407,1,0,4,6.243611111,1
0.076567662,633,0,1,4,6.306388889,1
0.072746343,800,1,0,4,6.352777778,1
0.055695432,808,1,0,4,6.355,1
3.0,925,0,1,4,6.3875,1
0.094277126,63,0,1,4,7.387777778,1
1.0,91,0,1,4,7.395555556,1
0.019462583,142,0,0,4,7.409722222,1
7.0,162,0,1,4,7.415277778,1
0.037865482,191,0,1,4,7.423333333,1
4.0,222,0,1,4,7.431944444,1
0.037828205,291,1,1,4,7.451111111,1
22.0,288,1,1,4,7.450277778,1
0.099086619,624,0,1,4,7.543611111,1
0.033212611,630,1,1,4,7.545277778,1
0.096084094,878,1,0,4,7.614166667,1
7.0,605,1,1,4,8.582777778,1
6.0,653,0,1,4,8.596111111,1
5.0,445,1,0,4,6.254166667,1
8.0,47,1,0,4,2.662777778,1
5.0,199,1,0,4,2.705,1
17.0,214,1,0,4,2.9,1
1.0,127,1,0,4,3.389722222,1
2.0,18,0,1,4,3.732777778,1
1.0,79,0,1,4,3.749722222,1
2.0,105,0,1,4,3.756944444,1
5.0,576,1,1,4,3.887777778,1
13.0,592,1,0,4,3.892222222,1
15.0,623,1,0,4,3.900833333,1
1.0,35,0,1,4,3.97,1
3.0,74,0,1,4,3.980833333,1
2.0,120,0,1,4,3.993611111,1
6.0,23,0,1,4,4.401111111,1
11.0,174,1,1,4,4.829722222,1
3.0,330,1,0,4,4.873055556,1
6.0,363,0,1,4,4.882222222,1
5.0,365,1,0,4,4.882777778,1
2.0,373,0,1,4,4.885,1
4.0,401,0,1,4,4.892777778,1
1.0,408,1,0,4,4.894722222,1
7.0,434,1,0,4,4.901944444,1
6.0,449,0,1,4,4.906111111,1
5.0,496,1,1,4,4.919166667,1
18.0,497,0,1,4,4.919444444,1
3.0,520,0,1,4,4.925833333,1
10.0,544,1,0,4,4.9325,1
1.0,19,0,1,4,5.808888889,1
0.063724824,35,0,1,4,5.813333333,1
5.0,42,1,0,4,5.815277778,1
6.0,74,0,1,4,5.824166667,1
15.0,55,1,0,4,6.935833333,1
4.0,90,0,1,4,6.945555556,1
5.0,60,1,0,4,7.071388889,1
0.026148246,90,0,1,4,7.079722222,1
7.0,120,1,1,4,7.528333333,1
7.0,128,0,1,4,7.530555556,1
0.08833199,139,0,1,4,7.533611111,1
8.0,170,0,1,4,7.542222222,1
6.0,211,0,1,4,7.553611111,1
15.0,31,1,0,4,8.1225,1
2.0,45,0,1,4,8.126388889,1
3.0,194,0,1,4,8.305,1
3.0,172,0,1,4,8.554722222,1
17.0,115,1,0,4,9.978888889,1
1.0,370,0,1,4,10.04972222,1
3.0,56,0,1,4,10.63222222,1
1.0,159,1,0,4,1.516388889,1
12.0,199,1,0,4,1.5275,1
7.0,59,0,1,4,5.118888889,1
3.0,187,0,1,4,6.058055556,1
8.0,200,1,0,4,9.331666667,1
1.0,210,0,1,4,9.334444444,1
5.0,274,0,1,4,9.352222222,1
14.0,280,0,1,4,9.353888889,1
2.0,38,1,0,4,1.926388889,1
2.0,109,1,0,4,1.946111111,1
6.0,139,1,0,4,2.853611111,1
11.0,228,0,1,4,2.878333333,1
